192.168.10.11 hits=5;first=1760502901.603;last=1760503494.417;url=localhost;blacklist=
192.168.10.41 hits=15;first=1760434406.09;last=1760505687.111;url=avatars.mds.yandex.net;blacklist=
192.168.10.41 hits=2;first=1759985250.855;last=1759985251.699;url=astral-field-294621.firebaseapp.com;blacklist=
192.168.10.41 hits=4;first=1760333935.48;last=1760334120.344;url=player.vimeo.com;blacklist=
192.168.10.41 hits=7;first=1760504071.567;last=1760504136.001;url=video-preview.s3.yandex.net;blacklist=
192.168.10.41 hits=1;first=1760435573.183;last=1760435573.183;url=login.vk.com;blacklist=
192.168.10.41 hits=6;first=1760435704.58;last=1760444630.973;url=imgs2.imgsmail.ru;blacklist=
192.168.10.41 hits=1;first=1760500713.47;last=1760500713.47;url=ublockorigin.github.io;blacklist=
192.168.10.41 hits=23;first=1760434411.553;last=1760504253.206;url=www.rambler.ru;blacklist=
192.168.10.41 hits=1;first=1760437689.194;last=1760437689.194;url=fonts.googleapis.com;blacklist=
192.168.10.41 hits=24;first=1759984981.019;last=1759985405.43;url=net.prod.verisoul.ai;blacklist=
192.168.10.41 hits=39;first=1759984976.585;last=1759985393.828;url=app.warp.dev;blacklist=
192.168.10.41 hits=14;first=1760333426.667;last=1760436034.998;url=shm-st-01.kcell.kz.prod.hosts.ooklaserver.net;blacklist=
192.168.10.41 hits=3;first=1760435585.129;last=1760435632.829;url=cloclo63.cloud.mail.ru;blacklist=
192.168.10.41 hits=2;first=1760440940.205;last=1760512285.471;url=cdn.statically.io;blacklist=
192.168.10.41 hits=14;first=1760434418.689;last=1760505692.428;url=ogads-pa.clients6.google.com;blacklist=
192.168.10.41 hits=46;first=1760434405.199;last=1760505687.187;url=yastatic.net;blacklist=
192.168.10.41 hits=1;first=1760437692.725;last=1760437692.725;url=yt3.ggpht.com;blacklist=
192.168.10.41 hits=135;first=1760424552.35;last=1760444379.34;url=web.whatsapp.com;blacklist=
192.168.10.41 hits=28;first=1760444635.709;last=1760505692.399;url=www.google.com;blacklist=
192.168.10.41 hits=4;first=1760435578.023;last=1760435707.529;url=o2.mail.ru;blacklist=
192.168.10.41 hits=7;first=1760434446.67;last=1760504283.988;url=atlas.rambler.ru;blacklist=
192.168.10.41 hits=4;first=1760437692.677;last=1760437716.706;url=i.ytimg.com;blacklist=
192.168.10.41 hits=12;first=1760333934.938;last=1760334122.452;url=featureassets.org;blacklist=
192.168.10.41 hits=2;first=1760340117.43;last=1760340117.649;url=mc.yandex.kz;blacklist=
192.168.10.41 hits=10;first=1760434166.741;last=1760505686.241;url=yandex.ru;blacklist=
192.168.10.41 hits=6;first=1760434414.182;last=1760502505.352;url=store.rambler.ru;blacklist=
192.168.10.41 hits=2;first=1760435823.922;last=1760436324.709;url=accounts.google.com;blacklist=
